RHS 50 x 30 x 2.9,50,30,2.9,3.31,4.21,13.2,5.80,5.29,3.87
RHS 50 x 30 x 3.0,50,30,3.0,3.41,4.34,13.6,5.94,5.43,3.96
RHS 50 x 30 x 3.2,50,30,3.2,3.61,4.60,14.2,6.20,5.68,4.13
RHS 50 x 30 x 3.6,50,30,3.6,4.01,5.10,15.4,6.67,6.16,4.45
RHS 50 x 30 x 4.0,50,30,4.0,4.39,5.59,16.5,7.08,6.60,4.72
RHS 50 x 30 x 5.0,50,30,5.0,5.28,6.73,18.7,7.89,7.49,5.26
RHS 50 x 30 x 5.6,50,30,5.6,5.78,7.37,19.7,8.23,7.89,5.48
RHS 50 x 30 x 6.3,50,30,6.3,6.33,8.07,20.6,8.50,8.26,5.66
RHS 60 x 40 x 2.9,60,40,2.9,4.22,5.37,25.8,13.5,8.59,6.77
RHS 60 x 40 x 3.0,60,40,3.0,4.35,5.54,26.5,13.9,8.82,6.95
RHS 60 x 40 x 3.2,60,40,3.2,4.62,5.88,27.8,14.6,9.27,7.29
RHS 60 x 40 x 3.6,60,40,3.6,5.14,6.54,30.4,15.9,10.1,7.93
RHS 60 x 40 x 4.0,60,40,4.0,5.64,7.19,32.8,17.0,10.9,8.52
RHS 60 x 40 x 5.0,60,40,5.0,6.85,8.73,38.1,19.5,12.7,9.77
RHS 60 x 40 x 5.6,60,40,5.6,7.54,9.61,40.7,20.7,13.6,10.4
RHS 60 x 40 x 6.3,60,40,6.3,8.31,10.6,43.4,21.9,14.5,11.0
RHS 60 x 40 x 7.1,60,40,7.1,9.14,11.6,45.9,22.9,15.3,11.5
RHS 60 x 40 x 8.0,60,40,8.0,10.0,12.8,47.9,23.7,16.0,11.9
RHS 80 x 40 x 2.9,80,40,2.9,5.13,6.53,52.7,17.5,13.2,8.77
RHS 80 x 40 x 3.0,80,40,3.0,5.29,6.74,54.2,18.0,13.6,9.00
RHS 80 x 40 x 3.2,80,40,3.2,5.62,7.16,57.2,18.9,14.3,9.46
RHS 80 x 40 x 3.6,80,40,3.6,6.27,7.98,62.8,20.6,15.7,10.3
RHS 80 x 40 x 4.0,80,40,4.0,6.90,8.79,68.2,22.2,17.1,11.1
RHS 80 x 40 x 5.0,80,40,5.0,8.42,10.7,80.3,25.7,20.1,12.9
RHS 80 x 40 x 5.6,80,40,5.6,9.30,11.8,86.7,27.4,21.7,13.7
RHS 80 x 40 x 6.3,80,40,6.3,10.3,13.1,93.3,29.2,23.3,14.6
RHS 80 x 40 x 7.1,80,40,7.1,11.4,14.5,99.8,30.7,25.0,15.4
RHS 80 x 40 x 8.0,80,40,8.0,12.5,16.0,106,32.1,26.5,16.1
RHS 90 x 50 x 3.0 ,90,50,3.0,6.24,7.94,84.4,33.5,18.8,13.4
RHS 90 x 50 x 3.2,90,50,3.2,6.63,8.44,89.1,35.3,19.8,14.1
RHS 90 x 50 x 3.6,90,50,3.6,7.40,9.42,98.3,38.7,21.8,15.5
RHS 90 x 50 x 4.0,90,50,4.0,8.15,10.4,107,41.9,23.8,16.8
RHS 90 x 50 x 5.0,90,50,5.0,9.99,12.7,127,49.2,28.3,19.7
RHS 90 x 50 x 5.6,90,50,5.6,11.1,14.1,138,53.0,30.7,21.2
RHS 90 x 50 x 6.3,90,50,6.3,12.3,15.6,150,57.0,33.3,22.8
RHS 90 x 50 x 7.1,90,50,7.1,13.6,17.3,162,60.9,36.0,24.4
RHS 90 x 50 x 8.0,90,50,8.0,15.0,19.2,174,64.6,38.6,25.8
RHS 90 x 50 x 8.8,90,50,8.8,16.3,20.7,183,67.2,40.6,26.9
RHS 100 x 50 x 3.2,100,50,3.2,7.13,9.08,116,38.8,23.2,15.5
RHS 100 x 50 x 3.6,100,50,3.6,7.96,10.1,128,42.6,25.6,17.0
RHS 100 x 50 x 4.0,100,50,4.0,8.78,11.2,140,46.2,27.9,18.5
RHS 100 x 50 x 5.0,100,50,5.0,10.8,13.7,167,54.3,33.3,21.7
RHS 100 x 50 x 5.6,100,50,5.6,11.9,15.2,181,58.6,36.2,23.4
RHS 100 x 50 x 6.3,100,50,6.3,13.3,16.9,197,63.0,39.4,25.2
RHS 100 x 50 x 7.1,100,50,7.1,14.7,18.7,214,67.5,42.7,27.0
